"","Cell_Line","Drug","GDSC","CCLE"
"131","JHOS-4","Sorafenib",NA,0.00716852514053325
"132","JHOS-4","Topotecan",NA,0.298303156613645
"133","Kuramochi","Crizotinib",0.0402865579576207,0.0146093784376128
"134","Kuramochi","Erlotinib",0.0374692583535763,0.0934454016671447
"135","Kuramochi","Irinotecan",0.0238960147602105,0.189080771657498
"136","Kuramochi","Lapatinib",0.0706228080901469,0.0586999423392305
"137","Kuramochi","Nilotinib",0,0.0591730139044594
"138","Kuramochi","Paclitaxel",0,0.490584664859586
"139","Kuramochi","Palbociclib",0.083626576299529,0
"140","Kuramochi","PD-0325901",0.0389822258817831,0.272200991310462
"141","Kuramochi","PLX4720",0.0486346158183362,0
"142","Kuramochi","Selumetinib",0.0475542220995929,0.192115044189584
"143","Kuramochi","Sorafenib",0.0162455543926778,0.0522181572640263
"144","Kuramochi","Topotecan",0.0747005426175573,0.283347637527176
"145","MCAS","Crizotinib",NA,0.0426015326750188
"146","MCAS","Erlotinib",NA,0.028530477754127
"147","MCAS","Irinotecan",NA,0.355546082994722
"148","MCAS","Lapatinib",NA,0.0554812466384209
"149","MCAS","Nilotinib",NA,0.0076505832158476
"150","MCAS","Paclitaxel",NA,0.8508889208266
"151","MCAS","Palbociclib",NA,0.00394361953666761
"152","MCAS","PD-0325901",NA,0.288810854664504
"153","MCAS","PLX4720",NA,0.00856350660176159
"154","MCAS","Selumetinib",NA,0.124932174029445
"155","MCAS","Sorafenib",NA,0.018492387239152
"156","MCAS","Topotecan",NA,0.321517870528609
"157","OAW28","Crizotinib",0.0176071070892136,NA
"158","OAW28","Erlotinib",0.0535034794685187,NA
"159","OAW28","Irinotecan",0.125448566856779,NA
"160","OAW28","Lapatinib",0.0242639390877288,NA
"161","OAW28","Nilotinib",0,NA
"162","OAW28","Paclitaxel",1.77442613255037e-16,NA
"163","OAW28","Palbociclib",0.0192994168943615,NA
"164","OAW28","PD-0325901",0.0803739679609797,NA
"165","OAW28","PLX4720",0.0472463714677084,NA
"166","OAW28","Selumetinib",0.0639640887821845,NA
"167","OAW28","Sorafenib",0.109711225026567,NA
"168","OAW28","Topotecan",0.331288321504628,NA
"169","OAW42","Crizotinib",0,NA
"170","OAW42","Erlotinib",0.11542242607128,NA
"171","OAW42","Irinotecan",0.149064790922914,NA
"172","OAW42","Lapatinib",0.0722617288070923,NA
"173","OAW42","Nilotinib",0.046244454793815,NA
"174","OAW42","Paclitaxel",0,NA
"175","OAW42","Palbociclib",0.0842872681815975,NA
"176","OAW42","PD-0325901",0.0456348087225328,NA
"177","OAW42","PLX4720",0.0048117871266996,NA
"178","OAW42","Selumetinib",0.000658593146848574,NA
"179","OAW42","Sorafenib",0.0990452166491405,NA
"180","OAW42","Topotecan",0.338199223513138,NA
"181","OC 314","Crizotinib",NA,0.0224375000000006
"182","OC 314","Erlotinib",0.0663229071364073,0.0414152166324963
"183","OC 314","Irinotecan",0.275913091169106,NA
"184","OC 314","Lapatinib",0.0961896020810187,0.0409379832151714
"185","OC 314","Nilotinib",0.00634115883827919,0.00831247177517528
